,sp,d,fr,sk,sd,n,seed,dens,disc,mxmin,mnmax,eOpt,covCon,delaunayErrEst0.1,rbfErrEst0.1,gpErrEst0.1,delaunayIntError0.1,rbfIntError0.1,gpIntError0.1,mlpIntErr0.1,delaunayErrEst2.0,rbfErrEst2.0,gpErrEst2.0,delaunayIntError2.0,rbfIntError2.0,gpIntError2.0,mlpIntErr2.0
0,sob,10,0.0,0.0,1.0,8192,0,8.0,2.445137938900961,0.3810978144703745,1.6845725805001015,52.254585116647775,0.99995422433127,63.33662204674998,0.1093840482870881,0.0257222161996504,0.0372392736296684,0.0056125556372391,0.0194490444803886,0.0201206515272357,665.2652637184007,0.2831612960838841,0.2410908694415259,0.0031484810420393,7.522006108590107e-05,0.0186977881382767,0.0047094732569431
1,sob,10,0.0,0.0,1.0,8192,1,8.0,2.445139545147505,0.519255976016206,1.7733656241565758,52.25574380304251,0.9999878408554784,272.07812111008616,0.130174535236707,0.0240960573027666,0.0381863061290667,0.0050247963568579,0.0204939048940475,0.0049530382069211,342.6821803447648,0.1023420190377746,0.1520413020938552,0.0214969278750759,0.0005036998708747,0.0010236617603999,0.0013515131599558
2,sob,10,0.0,0.0,1.0,8192,2,8.0,2.445148309098674,0.4538274636339159,1.7080844283215717,52.25458279198097,0.999954135364769,59.644582170738666,0.1060224015787135,0.0242422563162034,0.0390720411008378,0.0055084734335389,0.0209288540884454,0.0021096007997075,178.56057975199084,0.0656206600096644,0.1818468591786983,0.0387062488880867,0.0002730795407688,0.0074653275619282,0.0006058420161993
3,sob,10,0.0,0.0,1.0,8192,3,8.0,2.4451581425995115,0.4994595702183428,1.6926311185015046,52.25578001135781,0.9999999552961766,174.20623293212714,0.1159177347018126,0.0185131674594473,0.0308760783826275,0.0035276714431766,0.0117842631627957,0.0037614357932191,764.7928427707569,0.2817492886285538,0.1974369399868366,0.0320772060587346,0.0010201601572997,0.0062732272610509,0.0015184486059041
4,sob,10,0.0,0.0,1.0,8192,4,8.0,2.4451618472035848,0.4492036119896269,1.7430362310709246,52.25578114287422,0.999999998603016,138.52645242218787,0.132735753018267,0.0269023200234057,0.0388971347846267,0.0053421107438421,0.0193475021181279,0.0002185527801414,174.83479278523268,0.1276775313586058,0.1911135668256439,0.0589108355467393,0.0004540821584539,0.000734254583245,0.0003620363348905
5,sob,12,0.0,0.0,1.0,8192,0,2.0,3.745643109357989,0.5500850933600455,2.108434934193533,52.25099680055648,0.999816911286531,85.51755811124298,0.0512950336239025,0.065350611542635,0.0458040458650855,0.0095158390635677,0.057634861110123,0.0103567704087815,375.96996125107074,0.2286360928692759,0.2964892739893599,0.026764116084814,0.0008116643883696,0.0029060042967893,0.0008058584478376
6,sob,12,0.0,0.0,1.0,8192,1,2.0,3.745604799325677,0.6214890822198996,2.122419744301616,52.2551831559958,0.999977112078335,39.79309091016947,0.0803433994290389,0.0671627125014758,0.0469594100840666,0.0097112726985813,0.0525949262136777,0.0081052848461487,272.89607335976206,0.2510300912256677,0.2614769208916439,0.0679128495304769,0.0004355932977793,0.0004055860866543,0.000527339999451
7,sob,12,0.0,0.0,1.0,8192,2,2.0,3.745671965188111,0.5935778441399379,2.135216114495872,52.25578088737255,0.999999991618097,214.4322738820236,0.0716567187778759,0.0728959286081862,0.0477350341603491,0.0099871758994811,0.0497503403977718,0.0035139544626752,717.7214930810254,0.2525548607179524,0.2609276422777437,0.0439051159432642,0.0003208376292865,0.0047623955085705,0.0112875764679651
8,sob,12,0.0,0.0,1.0,8192,3,2.0,3.745492596643517,0.6169468611126623,2.1166381935525385,52.21749380243632,0.9985362247629436,566.5088203815752,0.0770079390833205,0.0634242806911874,0.0499686270438757,0.0094571471065654,0.0431706102988065,0.0019486997779311,354.3361269881744,0.2263536834375537,0.2420384269756748,0.0797523947277425,0.0003286057867031,0.0043388994324151,0.0082825491195232
9,sob,12,0.0,0.0,1.0,8192,4,2.0,3.7455399078937215,0.6755392336155387,2.1254198769195924,52.25578117930317,0.9999999999972712,992.1959056711012,0.0876294027323591,0.0641833388262572,0.0477761347397659,0.0095472648110975,0.0546441858949644,0.009592442060727,384.15972132079975,0.0515523944403092,0.2475579682146284,0.0565089677087398,0.0002245392369442,9.682630856844288e-05,0.0009958726070689
10,sob,14,0.0,0.0,1.0,8192,0,0.5,5.588279318410109,0.6927843215064698,2.5194161045070183,52.255762491247474,0.9999992847445184,204.91537943179145,0.196691216902248,0.1134958200392692,0.0572365569067814,0.0099597225586048,0.0050521164114354,0.0096762590291302,310.58560906170896,0.2390397005309777,0.3047712783269596,0.0660932573980297,0.0003546039736176,0.0131344663887667,0.0039188004066256
11,sob,14,0.0,0.0,1.0,8192,1,0.5,5.588216732303234,0.839126888518673,2.508089696124407,52.25454831289815,0.9999528158292004,360.105882607488,0.2041758026700292,0.1185954994170312,0.0552961547365853,0.0100157565229783,0.0282537427111241,0.0001411863521132,954.9036390692468,0.2352803410471552,0.3402359939388319,0.0416416677552294,0.0003249827675434,0.0049548614614574,0.0024652947335012
12,sob,14,0.0,0.0,1.0,8192,2,0.5,5.588358602288304,0.8356129673349112,2.484702871157072,52.25563138245324,0.999994266805558,683.0505884094679,0.2119937028011005,0.1236350325763754,0.0564182290405155,0.0101397355670078,0.0282474929555708,0.0147900070706173,1637.6489355639394,0.2562241876147886,0.344790132758181,0.0674132843230642,0.0001937766723686,0.0116613229028401,0.0049955442651454
13,sob,14,0.0,0.0,1.0,8192,3,0.5,5.587965188500572,0.7508361527272123,2.4822630358597952,52.24508238250517,0.9995906475096188,136.95815824542206,0.22656328899634,0.1256076585319712,0.0557194840154554,0.010359014623742,0.0307877338426568,0.013129991313744,1087.7975207418442,0.2265943913599337,0.3483049034135798,0.0789384214363229,0.0001922296799085,0.0056406349977113,0.0027004199065855
14,sob,14,0.0,0.0,1.0,8192,4,0.5,5.58816812345934,0.7715502638330859,2.5183670279540524,52.25548216854063,0.9999885559736856,273.7566341497709,0.226107697372189,0.1185940949980739,0.0553144576133955,0.0103431745075893,0.048444510360933,0.0098418625712006,158.87790120462128,0.0297804102959486,0.2975429088230658,0.0638944364512599,0.0001447601497379,0.0041837384514324,0.0094789015421279
15,sob,16,0.0,0.0,1.0,8192,0,0.125,8.181169348185996,0.939672884608297,2.8971708940880707,52.24591744954337,0.999622589582768,1374.4362251919515,0.18970340968639,0.1621967683287028,0.0594218221305412,0.0078141597341709,0.106251653427779,0.0283833858400309,1671.5107553498117,0.0430897727814357,0.3070108860397463,0.0860798613053787,7.969361497384142e-05,0.0007809579705471,0.0076527681488374
16,sob,16,0.0,0.0,1.0,8192,1,0.125,8.181286930438365,0.9485079241751808,2.8825527341376533,52.25338787459324,0.999908406756704,404.3254647657224,0.1945357874251524,0.1693229135475202,0.0610277731344306,0.0076304478520222,0.0525162201766548,0.011695595339027,2585.0088228450686,0.2443545230888762,0.377947212558328,0.096004072368807,2.2185792384776803e-05,0.0118036068038244,0.0057721340077714
17,sob,16,0.0,0.0,1.0,8192,2,0.125,8.180410361790956,1.0042524742946524,2.878666225791872,52.17915742157248,0.9970737891097888,320.67253971550844,0.2171676028261769,0.1752904038187064,0.0636908946718322,0.0068917425260736,0.0896505585780432,0.0141721245352788,633.5355160344732,0.2491201523986193,0.3368834453768311,0.0839964855957986,0.0001029463210944,0.0088603287131401,0.0014248827438599
